R;G;B
177;181;154
177;181;154
177;181;153
177;181;153
177;181;153
176;180;153
176;180;153
175;180;152
175;180;152
175;180;152
174;179;151
174;178;150
174;178;150
172;177;150
172;177;150
172;177;150
172;176;150
172;176;150
171;175;150
171;175;150
171;175;150
172;175;150
172;175;150
172;177;150
172;177;150
172;177;150
172;177;150
172;177;150
173;178;151
173;178;151
173;178;151
174;178;151
174;178;152
174;178;152
174;178;151
174;178;151
174;179;151
174;179;151
175;179;152
175;179;152
175;179;152
175;179;152
175;179;152
175;179;152
175;179;152
176;181;152
176;181;152
176;181;152
175;179;152
175;179;152
175;180;153
175;180;153
175;180;153
177;181;154
177;181;154
176;181;153
176;181;153
176;181;153
176;181;153
176;181;153
176;181;153
176;181;152
176;181;153
176;181;153
175;180;152
175;180;152
174;178;151
174;178;151
173;178;151
173;178;151
172;177;150
172;177;150
171;176;150
171;176;150
170;175;150
170;175;150
169;173;149
169;173;149
169;173;149
168;173;149
168;173;149
167;172;148
167;172;148
167;171;148
167;171;148
167;171;147
167;171;147
167;171;147
166;170;146
166;170;146
166;170;147
166;170;147
164;169;145
164;169;145
164;169;145
163;168;144
163;168;144
163;168;144
163;168;144
163;166;144
163;166;144
162;166;144
162;165;143
162;165;143
162;165;143
162;165;143
162;165;143
162;165;143
160;164;142
160;164;141
160;164;141
160;164;141
160;165;142
160;165;142
158;163;140
158;163;140
158;163;140
158;163;140
158;162;140
158;162;140
156;161;139
156;161;139
156;160;139
156;160;139
155;159;138
155;159;138
154;158;138
154;158;138
153;157;137
154;157;138
154;157;138
154;157;137
154;157;137
152;156;136
152;156;136
152;156;136
152;156;136
151;155;135
151;155;135
152;155;135
152;155;135
151;155;135
151;155;135
151;155;135
151;155;135
151;155;134
151;155;134
151;155;134
151;155;134
151;155;134
151;155;134
151;155;134
151;154;134
151;155;135
151;155;135
151;154;135
151;154;135
152;155;135
152;155;135
152;155;135
152;155;136
152;155;136
152;155;136
151;155;134
151;155;134
151;154;134
151;154;134
151;154;134
151;154;135
151;154;135
151;154;134
151;154;134
151;154;134
151;154;135
151;154;135
152;156;136
152;156;136
152;156;136
152;156;136
152;156;136
153;157;136
153;157;136
153;157;136
153;157;136
153;157;136
153;157;136
153;156;136
153;156;136
153;156;136
152;155;136
152;155;136
151;154;135
151;154;135
150;153;135
150;153;135
150;152;134
150;152;134
150;152;134
150;152;134
149;151;133
149;151;133
149;151;133
149;151;132
149;151;132
149;151;133
150;151;133
150;151;133
150;152;134
150;152;134
150;153;134
150;153;134
150;153;134
150;153;134
150;153;134
150;153;133
151;155;135
151;155;135
151;155;135
151;155;135
151;155;135
151;155;136
151;155;136
151;155;136
152;155;136
152;155;136
153;157;137
153;157;137
154;157;137
154;157;137
154;157;137
153;157;137
153;157;137
153;157;137
153;157;137
154;157;137
154;157;137
153;157;137
153;157;137
154;157;136
154;157;136
154;157;137
154;157;137
154;157;137
154;157;137
154;158;137
155;158;137
155;158;137
155;158;137
155;159;138
156;161;139
156;161;139
156;160;139
156;160;139
158;162;140
158;162;140
158;162;140
158;162;140
159;163;141
159;163;141
159;163;141
159;163;141
160;164;142
160;164;142
159;164;142
159;164;142
160;165;142
160;165;142
161;165;143
161;165;143
160;165;142
160;165;142
161;165;142
161;165;142
162;166;144
162;166;144
163;166;144
163;166;144
164;167;144
164;167;144
164;168;145
164;168;145
164;168;145
164;169;145
164;169;145
164;169;145
164;169;145
165;169;145
166;170;147
166;170;147
166;170;147
166;170;147
166;170;147
167;171;147
167;171;147
169;174;149
169;174;149
169;174;149
169;174;149
171;176;150
171;176;150
171;176;150
172;177;150
172;177;150
173;178;151
173;178;151
173;178;151
173;178;151
173;178;151
175;180;152
175;180;152
175;180;152
175;180;152
175;181;153
175;181;153
176;182;154
176;181;153
176;181;153
176;182;154
176;182;154
176;182;154
176;182;154
178;183;155
178;183;155
178;183;155
178;183;155
180;184;156
180;185;157
180;185;157
179;185;157
179;185;157
179;185;157
179;185;157
179;185;157
179;185;157
180;186;157
