R;G;B
40;124;140
40;124;140
39;123;138
39;123;138
40;124;139
40;124;139
39;122;138
39;122;138
40;123;138
40;123;138
39;121;136
39;121;136
39;120;136
39;120;136
39;119;134
39;119;134
39;119;134
39;119;134
37;118;133
37;118;133
37;118;133
37;118;133
37;117;133
37;117;133
38;117;133
38;117;133
37;115;131
37;115;131
37;115;131
37;115;131
37;115;131
37;115;131
37;115;131
37;115;131
37;116;131
36;114;130
36;114;130
36;114;130
37;113;129
37;113;129
37;113;129
37;113;129
36;113;129
36;113;129
36;112;128
36;112;128
36;111;127
36;111;127
36;110;126
35;109;125
35;109;125
35;109;125
35;108;124
35;108;124
35;108;124
35;108;124
35;110;126
35;110;126
35;110;126
35;109;126
35;109;126
36;111;127
36;111;127
36;112;128
36;112;128
37;113;129
37;113;129
37;113;129
37;114;130
37;114;130
37;116;132
37;116;132
37;116;132
36;114;130
36;114;130
36;113;129
36;113;129
36;112;128
36;112;128
36;111;126
36;111;126
36;110;126
36;110;126
36;110;126
34;108;125
34;108;125
34;108;124
34;108;124
35;108;124
35;108;124
35;108;124
35;108;124
35;108;124
35;108;124
35;108;126
35;108;126
36;110;127
36;110;127
35;110;127
35;110;127
37;112;130
37;112;130
37;113;130
37;113;130
37;114;131
37;115;131
37;115;131
37;116;132
37;116;132
37;116;131
37;116;131
36;114;130
36;114;130
36;115;130
36;115;130
36;115;130
35;114;130
35;114;130
35;114;129
36;115;130
36;115;130
36;115;130
37;115;131
37;115;131
38;117;132
38;117;132
38;117;133
38;117;133
38;117;133
38;117;133
38;117;133
38;116;132
38;116;132
37;116;132
37;116;132
36;115;131
36;115;131
37;116;132
37;116;132
37;117;132
37;117;132
37;116;132
37;116;132
37;116;132
37;116;132
37;116;132
37;116;132
37;116;132
37;116;132
37;116;132
37;117;132
37;117;132
38;117;132
38;117;132
38;117;132
38;116;132
38;116;132
37;116;132
37;116;132
37;117;133
37;117;133
38;117;134
38;117;134
38;117;134
38;117;134
38;117;133
38;117;133
37;115;131
37;115;131
36;113;129
36;113;129
36;111;127
36;111;127
35;110;126
35;110;126
34;110;126
34;110;126
35;111;128
35;111;128
36;113;130
36;113;130
38;115;131
38;115;131
38;115;131
38;115;131
38;115;131
37;117;132
37;117;132
36;116;132
36;116;132
38;118;134
38;118;134
38;120;136
38;120;136
38;121;138
38;121;138
38;121;138
38;121;138
40;122;139
40;122;139
39;122;138
39;122;138
38;121;137
38;120;137
38;120;137
38;120;137
38;120;137
38;119;137
38;119;137
