R;G;B
57;18;14
57;18;14
55;17;14
55;17;14
55;17;14
55;17;14
55;17;13
56;18;15
56;18;15
56;18;15
56;18;15
57;18;14
57;18;14
56;17;14
56;17;14
57;18;15
57;18;15
57;18;15
57;18;15
57;18;15
57;18;15
56;18;15
56;18;15
56;18;13
56;18;13
57;19;14
57;19;14
58;20;14
58;19;14
58;19;14
57;19;14
57;19;14
57;19;14
57;19;14
56;18;13
56;18;13
57;18;14
56;17;13
56;17;13
56;17;13
57;18;14
57;18;14
57;18;14
57;18;14
57;18;14
57;18;14
59;18;14
59;19;14
59;19;14
58;19;13
58;19;13
59;19;14
59;19;14
59;19;14
59;20;14
59;20;14
59;19;15
59;19;15
59;19;15
59;19;15
59;18;16
59;18;16
60;18;16
60;18;16
60;18;16
60;18;16
59;19;16
59;19;15
59;19;15
59;19;15
59;19;15
59;19;15
58;20;14
58;20;14
58;20;14
58;20;14
58;19;15
58;20;15
58;20;15
58;20;15
58;19;14
58;19;14
58;20;14
58;20;14
57;20;14
57;20;14
57;18;15
57;18;15
57;18;15
57;18;15
58;18;15
58;18;15
58;19;15
58;19;15
58;19;15
56;18;13
56;18;13
57;19;13
57;19;13
57;19;13
57;19;13
57;19;13
58;19;13
58;19;13
58;19;13
60;20;15
59;21;14
59;21;14
59;20;14
59;20;14
58;20;13
58;20;13
58;20;13
58;20;13
58;20;13
57;18;14
56;18;14
56;18;14
56;17;13
56;17;13
55;16;12
55;16;12
55;18;13
55;18;15
56;17;14
56;18;15
56;18;15
56;18;15
55;17;14
55;17;14
56;18;15
56;18;15
56;18;15
56;17;13
55;16;12
55;16;12
55;16;12
55;17;13
55;17;13
55;17;13
55;17;13
56;18;14
56;18;14
56;18;14
55;19;14
53;18;13
53;18;13
53;18;13
53;17;12
55;17;12
55;17;12
58;19;14
58;19;14
57;18;14
57;18;14
57;18;15
57;18;15
57;17;14
57;17;14
58;19;13
58;19;13
58;20;14
58;20;14
59;21;15
59;21;15
59;21;16
59;21;16
55;18;13
55;18;13
55;18;13
56;19;14
56;19;14
57;20;14
57;20;14
57;19;14
57;19;14
57;19;14
59;19;15
59;18;15
59;18;15
59;18;15
58;18;15
58;18;15
59;19;15
59;19;15
59;19;15
58;18;14
57;20;15
58;20;15
58;20;15
58;20;15
58;20;15
58;20;15
58;20;15
58;20;15
57;20;15
54;17;13
54;17;12
54;17;12
54;17;12
54;17;12
54;17;12
54;17;12
54;16;12
54;16;12
60;21;17
60;21;17
60;21;17
60;21;16
60;21;16
60;21;16
59;21;16
59;21;16
59;21;15
57;20;13
57;20;13
56;18;13
56;18;13
56;18;13
56;18;12
56;18;12
56;18;12
56;18;12
56;18;13
56;18;13
57;18;14
57;18;14
57;18;14
57;19;14
57;19;14
57;19;15
57;19;15
57;19;15
55;18;14
56;18;15
56;18;15
56;18;15
55;18;15
55;18;15
56;18;15
56;18;15
56;18;15
54;17;14
54;17;14
55;18;14
55;18;14
55;18;14
54;18;14
54;18;14
53;17;12
53;17;12
52;17;11
52;17;11
53;17;12
53;17;12
52;17;12
52;17;12
52;17;12
52;17;11
52;17;11
53;17;13
54;18;14
54;18;14
56;19;16
57;19;16
56;19;15
56;19;15
56;18;14
56;19;15
56;19;15
55;17;13
55;17;13
54;17;12
54;17;12
54;17;12
55;17;13
55;17;13
55;17;13
55;17;13
56;17;13
57;18;14
57;18;14
57;18;14
57;18;14
58;19;15
58;19;15
59;20;16
59;20;16
58;20;15
58;20;15
58;20;15
58;20;15
58;20;15
57;20;15
57;20;15
56;19;14
56;19;14
57;19;14
57;19;14
57;19;14
57;19;14
56;19;14
56;19;14
54;17;12
54;17;12
54;17;12
53;16;11
53;16;11
54;16;12
54;16;12
53;16;12
55;17;14
55;17;14
56;18;15
56;18;15
57;19;16
57;19;16
58;19;16
58;19;16
57;19;16
57;19;16
57;19;15
57;19;15
56;18;13
56;18;13
56;18;13
55;18;13
55;18;13
55;18;13
55;18;13
55;18;13
56;18;13
56;18;13
56;19;14
56;19;14
56;18;13
56;18;13
56;18;13
56;18;13
57;20;15
57;20;15
57;20;15
57;20;15
58;20;15
58;20;15
58;20;15
58;20;15
57;20;15
57;20;15
56;19;14
56;19;14
56;19;14
56;19;14
56;17;14
56;17;14
56;17;14
56;16;13
56;16;13
56;16;13
56;16;13
55;16;13
55;16;13
55;16;13
55;16;14
55;16;14
57;18;15
57;18;15
56;17;15
56;17;15
57;19;15
57;19;15
57;19;15
57;20;16
57;20;16
57;20;15
57;20;15
57;20;15
57;19;15
57;19;15
57;18;14
57;18;14
56;18;14
56;18;14
56;18;14
55;18;14
55;18;14
55;18;14
55;17;13
55;17;13
54;17;14
54;17;14
54;17;13
54;17;13
54;17;13
54;17;13
55;19;14
55;19;14
56;19;14
56;19;14
56;19;15
56;19;15
57;20;15
57;20;15
57;20;15
57;20;15
57;19;15
57;19;15
57;19;15
56;18;14
56;18;14
55;17;13
55;17;13
54;16;13
54;16;13
54;16;13
54;17;13
54;17;13
53;16;12
53;16;12
53;16;12
53;16;12
52;15;11
52;15;11
52;15;11
52;15;11
52;15;11
53;16;11
53;16;11
53;16;11
54;18;13
54;18;13
55;17;14
55;17;14
55;18;14
55;18;14
55;18;14
55;18;14
56;18;16
